,Actual,Sim Avg (0.00),%<Act (0.00),Sim Avg (0.05),%<Act (0.05),Sim Avg (0.10),%<Act (0.10),Sim Avg (0.15),%<Act (0.15),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.25),%<Act (0.25),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.35),%<Act (0.35),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.45),%<Act (0.45),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.55),%<Act (0.55),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.65),%<Act (0.65),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.75),%<Act (0.75),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.85),%<Act (0.85),Sim Avg (0.90),%<Act (0.90),Sim Avg (0.95),%<Act (0.95),Sim Avg (1.00),%<Act (1.00)
10%,-0.13833754408940835,-0.12804659588319023,37.5,-0.1289119552205521,38.9,-0.1326965286289078,42.9,-0.13852177170286054,50.0,-0.14641990702585178,59.9,-0.15566838472264266,68.30000000000001,-0.1666377988960011,77.4,-0.1788763959853386,83.5,-0.19148705303934735,90.3,-0.2046766716950205,94.39999999999999,-0.21870353048630306,97.3,-0.2335396963191895,99.0,-0.2487237906364694,99.5,-0.2640443541883257,99.7,-0.27981837056575604,99.9,-0.2956951491214759,100.0,-0.3118105709527115,100.0,-0.32795789866411484,100.0,-0.3443776592865892,100.0,-0.36098540560011716,100.0,-0.377744171746572,100.0
20%,-0.08929050423317131,-0.07967340733472855,38.0,-0.08059017851473281,37.4,-0.08300459774424732,40.9,-0.08665648565273366,46.800000000000004,-0.09173899819988446,52.800000000000004,-0.09778770665155984,61.1,-0.10473446910466322,67.7,-0.11226370982169469,74.5,-0.12034253468406937,82.3,-0.12878150408027722,87.1,-0.13743584771404757,91.60000000000001,-0.14638192904339287,94.1,-0.15559172665032497,96.6,-0.16497806616224672,98.0,-0.17486591079571437,99.1,-0.18472298078327817,99.5,-0.194645501288272,99.6,-0.2045723154203307,99.8,-0.21469175804500207,99.9,-0.22499741963565478,99.9,-0.235387752249212,100.0
30%,-0.05869970973995174,-0.04924402668077451,36.199999999999996,-0.04990430864007431,37.7,-0.05116540190169428,40.1,-0.05343461182896631,42.699999999999996,-0.0565184552595376,47.4,-0.06018580461438198,51.5,-0.06424706807667956,56.39999999999999,-0.06866851545800806,61.199999999999996,-0.07342477262028356,66.60000000000001,-0.07863192662899247,73.1,-0.08412081566543662,77.7,-0.08949977174866967,81.39999999999999,-0.0952565702871173,85.6,-0.101063915682586,88.6,-0.10700572259247869,91.0,-0.11300710487897914,92.7,-0.1191875299483969,94.89999999999999,-0.1252853886129632,96.0,-0.13151921283433693,97.1,-0.1377318782318981,97.6,-0.14406899079419394,97.8
40%,-0.028486287871834715,-0.024745340702658998,42.8,-0.024775186900871323,44.0,-0.025524973927179402,45.6,-0.026600986217687108,46.300000000000004,-0.027993219424544427,47.599999999999994,-0.029815524487473603,49.9,-0.031824659767060115,53.2,-0.033846548045017744,55.900000000000006,-0.0361125064942574,58.5,-0.0386567239626146,62.6,-0.04107422758610623,65.60000000000001,-0.043689567754390965,68.60000000000001,-0.046188699013935415,71.0,-0.04902017062554712,73.4,-0.051947715156555885,75.2,-0.05486724890579495,76.6,-0.05780714384441808,78.8,-0.06065299462007819,80.80000000000001,-0.06343415376119076,82.8,-0.06620271496033214,83.8,-0.06917546417133229,85.1
50%,0.008052510791034861,-0.0023975465444745444,64.3,-0.002468026707225717,64.7,-0.00259234672459043,64.2,-0.002505623081505677,64.1,-0.0024778166498188197,63.4,-0.0024461706759984015,63.1,-0.0022846863030262176,63.0,-0.002106370763174435,62.7,-0.0023336565545723927,63.0,-0.0023265079063839954,63.7,-0.0024942575487413004,63.9,-0.0026092829860253886,62.8,-0.002596686831648587,63.2,-0.0026808897236174824,62.2,-0.0025421018666388793,62.0,-0.002794627381763352,61.7,-0.002777224066207735,61.0,-0.002702296128636672,61.7,-0.0026573764945885332,61.199999999999996,-0.002653732815207685,61.199999999999996,-0.002570422701017271,61.1
60%,0.042439763281113756,0.020221900174451073,80.10000000000001,0.020242272057458186,79.7,0.02067054210312879,78.3,0.02163840527840141,77.10000000000001,0.023315474323183608,74.9,0.0250628101186064,72.1,0.02704467545773919,69.0,0.028941660486984835,67.5,0.031211875881708633,64.2,0.0335064968316912,60.6,0.036138643452102895,57.99999999999999,0.03881352281362829,54.900000000000006,0.04128944890764352,51.4,0.043964471649509666,49.3,0.04664748193943023,44.9,0.04946082586507604,41.6,0.05227869721311613,38.7,0.05504645319790784,35.3,0.057887241020367484,32.9,0.06084466542498863,31.1,0.06386585825744319,28.9
70%,0.09322167737083248,0.04476292201982775,95.39999999999999,0.04512264851144948,95.3,0.04652518658204973,94.89999999999999,0.048889206665850754,93.8,0.051550230890479255,91.9,0.055236396754830906,89.3,0.059391672335420385,86.4,0.06382346175939922,83.6,0.06844202433035534,79.5,0.07349547003125957,73.3,0.0787967218111709,67.5,0.08426149418698753,60.199999999999996,0.08968027384081222,55.7,0.0952812185278726,48.4,0.10119831252256102,41.4,0.10720492790172277,35.8,0.11330701373399184,29.5,0.11941597296475598,24.6,0.12545460729126437,19.900000000000002,0.13166364354242957,16.5,0.13780927499001502,13.5
80%,0.1402914791775376,0.07586575703934381,97.6,0.07668783719540648,97.39999999999999,0.07856348264149958,97.2,0.0820939357540792,96.7,0.08687374635457809,95.39999999999999,0.09267539690773839,93.2,0.09946190376040173,89.2,0.10679645787066068,85.5,0.11478231807349519,78.4,0.12312539542505574,70.39999999999999,0.13196349469745924,61.4,0.14107300029496525,49.8,0.1507129968187234,39.6,0.16048780710761576,29.9,0.1700313477277843,21.7,0.17988986651228037,14.899999999999999,0.1898008566964255,11.200000000000001,0.19973594001619943,8.6,0.20994903273181822,6.0,0.2200736113805942,3.8,0.23031442036874256,2.4
90%,0.20520000447255998,0.12392468728585507,98.3,0.12555756622526393,98.1,0.12915445641665776,97.8,0.135118588025733,96.0,0.14279705197116427,94.39999999999999,0.15219063201358035,92.30000000000001,0.16274484126270147,87.2,0.17479483568544235,79.5,0.1877086238497443,67.10000000000001,0.2012294581834774,55.300000000000004,0.2152418564746986,42.699999999999996,0.22993172377340318,28.599999999999998,0.24509535097494511,17.2,0.2603287826599636,11.0,0.27600229008115945,6.800000000000001,0.2919517334316773,3.9,0.30838882984563565,2.1999999999999997,0.32490023858874484,0.8999999999999999,0.34144342970817965,0.8,0.3579773023405298,0.4,0.374687058658054,0.1
10th Best,0.23338553980781165,0.14510556212339776,98.2,0.14641628775998414,97.7,0.15061723562891552,96.89999999999999,0.157389492004212,96.0,0.1661526365376074,94.3,0.17735561619606352,90.9,0.19008437162611097,84.39999999999999,0.20384372849868743,76.1,0.21902227399527807,62.5,0.23503836361847114,49.1,0.25152279728656224,35.5,0.2687069132797838,23.7,0.2861280977828874,14.499999999999998,0.3038837239061718,9.0,0.3221679119601607,4.8,0.3406938050578175,2.5,0.35946921430795975,1.4000000000000001,0.37840489770409125,0.7000000000000001,0.3976417062541893,0.3,0.41697606543983734,0.3,0.4363083708647877,0.1
9th Best,0.2639825611269931,0.15297250764945086,98.9,0.15416086105929586,99.3,0.15826340237757353,98.9,0.16524227825748256,98.6,0.17474115461953058,97.6,0.18668290504244264,96.89999999999999,0.20001634096649457,92.2,0.21480510018638657,86.0,0.23042628728141745,77.9,0.24706022463348545,65.60000000000001,0.26447081312971976,51.4,0.28214032715851045,39.1,0.30059457812938367,26.1,0.3196411789000601,15.1,0.33888831940636444,8.7,0.35832119187745504,4.9,0.37799455777911445,3.0,0.3980176314921158,1.6,0.4182039785775027,0.7000000000000001,0.4385703892483573,0.3,0.45906170109918887,0.2
8th Best,0.27022084470395985,0.1610882051623492,98.9,0.16254402697280762,98.9,0.16687040494770536,98.9,0.1745232529315303,98.0,0.18463585370088414,97.2,0.19671332483677428,94.6,0.2111390971331369,89.4,0.2268712801102734,82.1,0.24360187339832537,71.7,0.2611959934885926,59.4,0.279831638584957,44.4,0.29841836238779007,32.2,0.31754825463699615,19.8,0.337274485522172,11.899999999999999,0.35720410150990833,6.4,0.3776747548584463,3.5999999999999996,0.3985602194984827,1.6,0.41963832838739584,0.8,0.44100137718466914,0.3,0.4625759754947694,0.1,0.4843565422579717,0.1
7th Best,0.2746491212063541,0.170961136637564,98.5,0.1725895998798223,98.4,0.17674174316906793,98.4,0.18464835016628073,97.0,0.195508577711275,95.3,0.2087117984181067,92.2,0.22397268838318013,84.3,0.24034061694260014,76.5,0.25769716913772467,63.9,0.27639397925124853,52.1,0.29610730721219614,36.4,0.3167216080789572,23.799999999999997,0.3373433290461073,13.900000000000002,0.3580627698969178,8.1,0.3793781147861898,4.2,0.4008310900867255,2.1,0.422945701397639,0.8999999999999999,0.44559753621406606,0.4,0.46831246815436967,0.3,0.49099036947273295,0.0,0.513682256843598,0.0
6th Best,0.28770656767491637,0.18159626612772298,98.3,0.18342697060938581,98.3,0.18868278199630628,98.2,0.19719424881347664,96.5,0.20841573924725748,94.5,0.22255692967068721,90.7,0.23856186020054676,83.1,0.25618297267929147,73.7,0.27533567647538576,60.6,0.2956488681464747,46.9,0.3163806059603059,32.2,0.33778055702816373,20.5,0.3599177358133561,12.9,0.38236496861391744,6.1,0.40516128324984163,3.1,0.42835660100102796,1.6,0.4514166407767002,0.6,0.47463279637879713,0.2,0.49840790058408413,0.1,0.5226663534004322,0.0,0.547331271714724,0.0
5th Best,0.2960943029370824,0.19501151354439797,96.5,0.19649731644259538,97.39999999999999,0.2026128714488866,96.2,0.2119638437074677,94.6,0.22423674233377858,91.60000000000001,0.23926422334093886,85.3,0.2566478765522194,76.3,0.2760221668383705,65.4,0.2964257082833648,51.4,0.31765360427108147,37.7,0.3395053494926784,25.5,0.3628673404194304,16.2,0.38720226635392885,8.9,0.4121340029999291,4.6,0.4371197943938564,1.9,0.4618360040671411,0.8999999999999999,0.4868300001017977,0.3,0.5123244654899757,0.0,0.5378101490840728,0.0,0.5633821586845553,0.0,0.5891141447676091,0.0
4th Best,0.32182258494988947,0.21151409875442595,96.2,0.21377813239176516,96.1,0.22032515996569205,95.8,0.2313343495594615,93.89999999999999,0.24554015628969875,90.9,0.26181993143435117,84.39999999999999,0.2801753796667908,75.9,0.30050491146232877,66.3,0.3227907019314882,53.1,0.3459322653813309,39.300000000000004,0.3704398975062511,25.7,0.3956346867114834,16.8,0.42173406306266314,9.6,0.44824051684391875,5.6000000000000005,0.47536372968538737,2.6,0.5031039103253041,0.8999999999999999,0.5309692265225517,0.3,0.5587892264214515,0.2,0.5868964855908388,0.0,0.6153259334129048,0.0,0.6440507467733637,0.0
3rd Best,0.3925572698246142,0.2330170873639861,98.2,0.2365065610003366,98.0,0.24418864585919095,97.6,0.2559216621162227,97.0,0.2718802847719751,95.0,0.2907213782645052,92.4,0.31130934289206225,87.5,0.33381630653182726,80.0,0.35779930509639896,69.1,0.3833763745105446,57.199999999999996,0.4103659593304701,45.300000000000004,0.4382369047790129,32.5,0.46655277411528845,22.2,0.495578222390949,13.900000000000002,0.5252853566529403,9.4,0.5556220798120876,5.1,0.5865881524574184,2.0,0.6178767980978506,0.7000000000000001,0.6493791637672216,0.3,0.681044815451138,0.2,0.7127587661425111,0.1
2nd Best,0.42374835251400367,0.26665144694236836,96.39999999999999,0.26999149945317535,96.3,0.27908134924918593,95.3,0.2924822619206086,93.89999999999999,0.30987215994317685,90.9,0.3310812813437272,86.4,0.35571683745602395,80.30000000000001,0.3824616810540954,71.3,0.41134442818668504,59.599999999999994,0.44182281643876953,46.400000000000006,0.4732226680883271,35.099999999999994,0.5051441330518914,25.5,0.5379757603653977,17.0,0.5717814193435325,10.9,0.6063242953414775,5.7,0.6413833385887385,3.5999999999999996,0.6769286823977471,1.3,0.7128971833732168,0.3,0.7491537550536124,0.2,0.7854629106030174,0.2,0.8219325774125142,0.1
Best,0.4275913641906616,0.3369343716551937,81.5,0.34048495774521653,80.2,0.3510327550081274,78.4,0.3683021623211779,74.1,0.3909273636584692,68.2,0.41793670409605344,59.4,0.4488703606181134,50.0,0.4828178784772009,39.6,0.5189136173078382,27.800000000000004,0.5567133196373283,19.5,0.596081815082446,13.4,0.6369697192009487,8.5,0.6789524868790725,4.0,0.721759805106897,1.7999999999999998,0.7651383255293376,0.6,0.8090745547305367,0.3,0.8534952921946208,0.1,0.8982999317770132,0.1,0.9434727984364999,0.0,0.9891227695582652,0.0,1.0351440820536963,0.0
